,City,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
0,Namibe,0,AO,1554849124,100,-15.19,12.15,24.01,5.62
1,Torbay,20,CA,1554849083,54,47.66,-52.73,0.0,8.2
2,Busselton,8,AU,1554849037,94,-33.64,115.35,10.56,2.42
3,Jamestown,0,AU,1554849125,58,-33.21,138.6,12.21,4.07
4,Port Alfred,88,ZA,1554848806,95,-33.59,26.89,17.78,0.45
5,Kaitangata,92,NZ,1554849077,77,-46.28,169.85,15.56,7.27
6,Resistencia,0,AR,1554847200,61,-27.45,-58.99,26.0,2.6
7,Tautira,75,PF,1554848547,70,-17.73,-149.15,30.0,3.6
8,San Patricio,0,PY,1554849126,86,-26.98,-56.83,21.09,1.47
9,Ribeira Grande,68,PT,1554849126,98,38.52,-28.7,16.21,8.22
10,Albany,75,US,1554848825,76,42.65,-73.75,11.67,6.2
11,Srednekolymsk,0,RU,1554849127,71,67.46,153.71,-2.34,1.42
12,Punta Arenas,40,CL,1554848551,81,-53.16,-70.91,8.0,3.6
13,Kaseda,75,JP,1554848550,100,31.42,130.32,19.0,5.7
14,Luganville,92,VU,1554849127,100,-15.51,167.18,26.59,3.92
15,Butaritari,88,KI,1554849127,100,3.07,172.79,28.31,4.77
16,Avarua,0,CK,1554847200,65,-21.21,-159.78,27.0,5.7
17,Mataura,92,NZ,1554849008,94,-46.19,168.86,13.89,1.34
18,Provideniya,90,RU,1554847200,85,64.42,-173.23,-5.0,2.0
19,Qaanaaq,68,GL,1554849128,96,77.48,-69.36,-8.84,2.07
20,Elizabeth City,1,US,1554849005,64,36.3,-76.22,23.33,3.1
21,Qasigiannguit,8,GL,1554846600,80,68.82,-51.19,-1.0,1.5
22,Cherskiy,56,RU,1554849129,76,68.75,161.3,-3.17,2.32
23,Cape Town,0,ZA,1554848751,82,-33.93,18.42,19.44,3.6
24,Ushuaia,75,AR,1554847200,81,-54.81,-68.31,7.0,6.2
25,Naryan-Mar,0,RU,1554849129,53,67.67,53.09,-17.47,1.07
26,Rikitea,20,PF,1554849107,100,-23.12,-134.97,24.09,3.67
27,Tiksi,8,RU,1554849129,78,71.64,128.87,-14.29,5.37
28,Palimbang,75,PH,1554849086,78,14.9,120.78,28.0,1.0
29,Katsuura,75,JP,1554847494,76,33.93,134.5,12.0,12.9
30,Laguna,5,MX,1554846120,14,27.52,-110.01,36.0,3.6
31,Ponta do Sol,24,BR,1554849130,96,-20.63,-46.0,18.21,1.02
32,Palmer,90,US,1554848838,39,61.6,-149.11,10.0,2.6
33,Nikolskoye,75,RU,1554849036,84,59.7,30.79,1.67,1.0
34,Otradnoye,75,RU,1554849036,84,59.77,30.8,1.67,1.0
35,Portland,75,US,1554849065,47,45.52,-122.67,14.44,6.7
36,Oktyabrskiy,0,RU,1554848770,75,55.61,37.97,11.67,2.0
37,Nhulunbuy,24,AU,1554847200,78,-12.18,136.78,27.0,4.1
38,Lebu,80,ET,1554849132,78,8.96,38.73,13.69,1.22
39,Mar del Plata,48,AR,1554849132,54,-46.43,-67.52,15.96,5.52
40,Kahului,90,US,1554849042,73,20.89,-156.47,25.0,6.7
41,Hithadhoo,76,MV,1554849132,100,-0.6,73.08,28.96,2.37
42,Bredasdorp,20,ZA,1554847200,88,-34.53,20.04,19.44,4.6
43,Airai,8,TL,1554849133,64,-8.93,125.41,25.61,0.87
44,Sayyan,0,YE,1554849133,84,15.17,44.32,7.51,0.57
45,Kapaa,75,US,1554849077,69,22.08,-159.32,27.0,6.2
46,Hermanus,12,ZA,1554849103,83,-34.42,19.24,19.44,1.47
47,Port Keats,88,AU,1554849133,100,-14.25,129.55,25.29,5.42
48,Puerto Escondido,20,MX,1554846300,62,15.86,-97.07,30.0,4.1
49,Clyde River,40,CA,1554847200,84,70.47,-68.59,-16.0,1.0
50,East London,92,ZA,1554849134,100,-33.02,27.91,21.34,7.17
51,Rusape,68,ZW,1554849135,78,-18.53,32.12,14.41,1.17
52,Dikson,76,RU,1554849135,100,73.51,80.55,-7.59,8.82
53,Kaspiyskiy,0,RU,1554849135,96,45.39,47.37,8.34,4.72
54,Marystown,0,CA,1554848791,100,47.17,-55.16,-1.11,8.17
55,Lompoc,1,US,1554849133,63,34.64,-120.46,23.0,11.3
56,Severo-Kurilsk,24,RU,1554849127,95,50.68,156.12,0.06,3.67
57,Carnarvon,20,ZA,1554849136,46,-30.97,22.13,9.36,1.42
58,Ulladulla,20,AU,1554849100,50,-35.36,150.48,16.67,2.6
59,Yellowknife,20,CA,1554847200,65,62.45,-114.38,5.0,6.2
60,Gizo,75,IL,1554849129,77,31.8,34.94,16.11,3.6
61,High Rock,90,BS,1554847200,78,26.63,-78.28,27.0,6.2
62,Aguada de Pasajeros,48,CU,1554847140,74,22.38,-80.85,28.0,5.1
63,Georgetown,40,GY,1554847200,70,6.8,-58.16,29.0,4.1
64,Cabo San Lucas,5,MX,1554848294,25,22.89,-109.91,35.56,2.1
65,Poum,56,MK,1554849137,96,41.28,20.71,4.84,0.87
66,Pevek,0,RU,1554849137,81,69.7,170.27,-10.47,2.87
67,Bereda,40,ES,1554849106,87,43.27,-7.54,12.22,2.6
68,Hobyo,64,SO,1554849138,88,5.35,48.53,26.59,3.67
69,Vila Velha,20,BR,1554848895,78,-3.71,-38.6,28.0,3.6
70,Barrow,44,AR,1554849138,43,-38.31,-60.23,22.36,5.42
71,Taoudenni,0,ML,1554849139,24,22.68,-3.98,13.94,1.17
72,Saskylakh,0,RU,1554849139,68,71.97,114.09,-18.74,1.32
73,Muscle Shoals,1,US,1554849132,42,34.75,-87.67,27.22,3.1
74,Ilulissat,8,GL,1554846600,80,69.22,-51.1,-1.0,1.5
75,Leningradskiy,12,RU,1554849139,92,69.38,178.42,-15.99,9.82
76,Pahrump,1,US,1554848750,14,36.21,-115.98,25.0,9.3
77,Wahpeton,1,US,1554848837,64,46.27,-96.61,2.0,5.1
78,Kodiak,1,US,1554849130,31,39.95,-94.76,24.44,7.2
79,Tuktoyaktuk,90,CA,1554847200,77,69.44,-133.03,-15.0,4.1
80,Hobart,75,AU,1554848955,66,-42.88,147.33,12.78,3.1
81,Bluff,20,AU,1554849141,52,-23.58,149.07,26.09,1.97
82,New Norfolk,75,AU,1554849135,66,-42.78,147.06,13.33,3.1
83,Arraial do Cabo,75,BR,1554847200,88,-22.97,-42.02,25.0,2.6
84,Hofn,88,IS,1554849141,100,64.25,-15.21,3.79,2.62
85,Garowe,0,SO,1554849141,83,8.41,48.48,22.16,3.67
86,Vaini,0,IN,1554849142,87,15.34,74.49,18.29,1.02
87,Sur,0,OM,1554849142,85,22.57,59.53,26.94,1.52
88,Longyearbyen,75,NO,1554846600,92,78.22,15.63,0.0,7.7
89,La Asuncion,75,EC,1554843600,40,-1.64,-78.74,22.0,4.1
90,Smithers,90,CA,1554847200,32,54.78,-127.17,11.0,2.6
91,Castro,90,CL,1554847200,87,-42.48,-73.76,13.0,2.1
92,Chapais,1,CA,1554847200,39,49.78,-74.86,-1.0,5.1
93,College,75,US,1554848727,40,64.86,-147.8,12.78,1.0
94,Yakovlevka,88,RU,1554849143,53,44.43,133.47,7.04,1.32
95,Hilo,75,US,1554848901,65,19.71,-155.08,26.0,4.6
96,Port Lincoln,0,AU,1554849144,92,-34.72,135.86,16.04,3.47
97,Salalah,75,OM,1554846600,74,17.01,54.1,27.0,2.1
98,Muros,75,ES,1554849137,87,42.77,-9.06,12.22,4.6
99,Ouallam,0,NE,1554849144,15,14.32,2.08,26.59,4.47
100,Andra,92,RU,1554849144,85,62.52,65.89,-3.29,3.12
101,Samarinda,8,ID,1554849145,88,-0.5,117.14,26.84,1.27
102,Tessalit,0,ML,1554849145,28,20.2,1.01,14.46,2.02
103,Kropotkin,0,RU,1554849017,60,45.43,40.58,13.89,5.02
104,Hambantota,20,LK,1554844200,100,6.12,81.12,25.0,1.5
105,Tulum,90,MX,1554849020,94,20.21,-87.46,21.0,2.6
106,Abu Zabad,8,SD,1554849146,53,12.35,29.25,27.01,5.57
107,Ahipara,48,NZ,1554849146,75,-35.17,173.16,19.96,3.87
108,Ankazoabo,24,MG,1554849146,67,-22.29,44.51,21.29,2.42
109,Hami,0,CN,1554849146,46,42.84,93.51,3.51,4.52
110,Saint-Philippe,90,CA,1554849119,92,45.36,-73.48,0.0,6.7
111,Riyadh,75,SA,1554847200,64,24.63,46.72,20.0,2.6
112,Chuy,0,UY,1554849147,86,-33.69,-53.46,18.54,5.77
113,Saint Paul,76,US,1554848845,48,44.95,-93.1,12.22,6.2
114,Hasaki,75,JP,1554849028,87,35.73,140.83,6.11,2.22
115,Cidreira,0,BR,1554849148,81,-30.17,-50.22,19.41,5.47
116,Ithaca,75,US,1554848924,46,42.44,-76.5,16.11,10.3
117,Cap-Chat,56,CA,1554849031,100,49.1,-66.68,-4.69,2.67
118,Vardo,40,US,1554848945,25,39.62,-77.74,25.0,9.8
119,Meiktila,0,MM,1554849148,61,20.88,95.86,22.34,3.87
120,Mandiana,8,GN,1554849149,35,10.62,-8.7,26.59,2.42
121,Ishigaki,40,JP,1554847200,94,24.34,124.16,26.0,7.2
122,Amahai,8,ID,1554849149,100,-3.31,129.0,28.66,2.32
123,Bathsheba,40,BB,1554847200,74,13.22,-59.52,26.0,7.2
124,Lavrentiya,92,RU,1554849149,100,65.58,-170.99,-7.97,4.22
125,Isangel,20,VU,1554847200,69,-19.55,169.27,28.0,1.5
126,Narsaq,75,GL,1554846600,36,60.91,-46.05,9.0,14.9
127,Chebsara,92,RU,1554849150,96,59.2,38.84,4.44,2.32
128,Coffs Harbour,40,AU,1554848904,68,-30.3,153.13,21.11,6.7
129,Constitucion,5,MX,1554849015,7,23.99,-104.67,25.0,1.0
130,Iqaluit,20,CA,1554848525,77,63.75,-68.52,-16.0,9.8
131,Tromso,0,NO,1554846600,62,69.65,18.96,-6.0,3.1
132,Champerico,5,MX,1554846120,48,16.38,-93.6,30.0,10.3
133,Beaverlodge,75,CA,1554847200,32,55.21,-119.43,12.0,1.0
134,Saldanha,92,PT,1554849152,91,41.42,-6.55,6.61,4.87
135,Veraval,92,FR,1554849039,100,49.65,0.71,9.44,2.6
136,Klyuchi,0,RU,1554849152,60,52.25,79.17,0.16,3.87
137,Ceres,0,AR,1554848941,45,-29.88,-61.95,27.3,4.91
138,Mount Gambier,90,AU,1554847200,81,-37.83,140.78,10.0,2.1
139,Ereymentau,0,KZ,1554849153,77,51.62,73.1,-1.42,2.12
140,Shimoda,75,JP,1554849011,100,34.7,138.93,6.11,2.1
141,Meybod,40,IR,1554847200,42,32.25,54.02,17.0,3.1
142,Pisco,0,PE,1554847200,30,-13.71,-76.2,22.0,11.3
143,Tumkur,40,IN,1554847200,94,13.34,77.1,23.0,1.5
144,The Valley,40,AI,1554849061,69,18.22,-63.06,26.0,6.2
145,Santa Ana,20,SV,1554847251,58,13.99,-89.56,29.0,6.2
146,Beyneu,12,KZ,1554849155,73,45.32,55.19,6.91,1.22
147,Qaqortoq,75,GL,1554846600,36,60.72,-46.03,9.0,14.9
148,Laurentides,88,CA,1554849155,77,46.43,-74.98,-1.09,2.67
149,Kamaishi,64,JP,1554849155,51,39.28,141.86,6.96,0.77
150,Evensk,0,RU,1554849155,92,61.92,159.24,-1.29,2.82
151,Beloha,0,MG,1554849156,90,-25.17,45.06,20.56,1.32
152,Pecos,1,US,1554849140,6,31.42,-103.49,36.0,8.2
153,Puerto Ayora,75,EC,1554849054,66,-0.74,-90.35,30.0,4.1
154,Celestun,100,MX,1554849156,100,20.87,-90.4,25.16,6.47
155,Ambanja,48,MG,1554849156,94,-13.68,48.45,20.86,1.07
156,Lasa,20,CY,1554847200,67,34.92,32.53,17.0,4.6
157,Rome,20,IT,1554848944,87,41.89,12.48,12.22,1.5
158,Krasnaya Gora,75,RU,1554847200,93,53.01,31.6,9.0,2.0
159,Tura,48,IN,1554849157,95,25.52,90.21,17.01,2.07
160,Makakilo City,40,US,1554849128,48,21.35,-158.09,29.0,5.1
161,Sioux Lookout,90,CA,1554847680,79,50.1,-91.92,-4.0,5.1
162,Mega,32,ET,1554849157,82,4.06,38.32,17.59,0.92
163,Auki,12,NG,1554849158,54,12.18,6.51,27.26,3.62
164,La Rioja,0,AR,1554849158,72,-29.41,-66.86,19.76,2.97
165,Hit,32,IQ,1554849158,61,33.64,42.83,18.51,4.92
166,Danielskuil,12,ZA,1554849158,75,-28.19,23.54,11.61,3.47
167,Sandy Bay,75,AU,1554849135,66,-42.9,147.33,13.33,3.1
168,Venado Tuerto,0,AR,1554849094,22,-33.75,-61.97,21.67,1.79
169,Thompson,90,CA,1554847200,40,55.74,-97.86,1.0,3.1
170,Payakumbuh,48,ID,1554849159,92,-0.23,100.63,22.46,0.97
171,Anzio,20,IT,1554849131,87,41.45,12.63,12.22,1.5
172,Tasiilaq,92,GL,1554846600,47,65.61,-37.64,3.0,4.6
173,Vila,75,IT,1554849126,71,45.18,8.4,13.89,3.6
174,Itarema,88,BR,1554849160,95,-2.92,-39.92,25.31,2.22
175,Phan Thiet,64,VN,1554849160,98,10.93,108.1,26.31,2.27
176,Estelle,75,US,1554849133,29,32.87,-97.01,32.0,5.7
177,Akonolinga,32,CM,1554849161,91,3.77,12.24,23.26,1.42
178,Talakan,8,RU,1554849161,41,50.29,130.28,3.71,1.67
179,Ngunguru,0,NZ,1554847685,85,-35.62,174.5,18.33,2.68
180,Anadyr,0,RU,1554848551,77,64.73,177.51,-15.0,5.0
181,Belyy Yar,0,RU,1554847200,73,53.6,91.39,-4.0,2.0
182,Zheleznodorozhnyy,0,RU,1554848770,75,55.75,38.0,11.67,2.0
183,Nemuro,0,JP,1554849162,100,43.32,145.57,0.71,2.47
184,Tczew,40,PL,1554849111,74,54.09,18.8,1.11,2.6
185,Macamic,90,CA,1554847200,85,48.75,-79.0,0.0,3.1
186,Carsamba,75,TR,1554846600,51,41.2,36.72,16.0,4.1
187,Geraldton,75,CA,1554847200,60,49.72,-86.95,0.0,6.7
188,Bethel,90,US,1554846960,59,60.79,-161.76,3.0,3.6
189,Aklavik,75,CA,1554847200,60,68.22,-135.01,-12.0,2.1
190,Bandarbeyla,88,SO,1554849164,100,9.49,50.81,27.44,5.17
191,Codrington,90,AU,1554848861,77,-28.95,153.24,23.0,4.1
192,Saint-Joseph,0,FR,1554849124,93,43.56,6.97,12.0,1.5
193,Sitka,0,US,1554849119,25,37.17,-99.65,30.0,8.49
194,Yulara,0,AU,1554847200,40,-25.24,130.99,20.0,3.6
195,Pechora,0,RU,1554849165,75,65.12,57.16,-13.44,2.27
196,San Policarpo,92,PH,1554849165,97,12.18,125.51,26.66,4.67
197,Te Anau,92,NZ,1554849166,100,-45.41,167.72,10.44,2.02
198,Fort-Shevchenko,76,KZ,1554849166,97,44.51,50.26,8.34,3.17
199,Padang,76,ID,1554849166,100,-0.92,100.36,25.69,1.92
200,Kavieng,8,PG,1554849166,100,-2.57,150.8,28.81,2.07
201,Kwidzyn,88,PL,1554849111,69,53.73,18.93,2.78,1.62
202,Wanning,20,AT,1554849166,62,48.64,13.53,11.67,3.6
203,Whitehorse,75,CA,1554849004,38,60.72,-135.06,6.67,4.6
204,Henties Bay,68,NA,1554847323,94,-22.12,14.28,13.89,0.89
205,Abashiri,12,JP,1554849068,80,44.01,144.25,-0.57,0.89
206,Sibolga,36,ID,1554849168,99,1.74,98.78,21.21,0.92
207,Sao Filipe,0,CV,1554849168,95,14.9,-24.5,22.06,7.62
208,Tayu,75,JP,1554848966,87,35.06,136.67,8.33,5.7
209,Chokurdakh,76,RU,1554849168,98,70.62,147.9,-7.74,6.32
210,Ayna,40,ES,1554849011,81,38.55,-2.07,8.0,5.7
211,Maihar,0,IN,1554849168,62,24.26,80.76,17.96,1.62
212,Dingle,20,PH,1554849169,75,11.0,122.67,28.11,2.97
213,Vradiyivka,12,UA,1554849169,70,47.86,30.59,9.06,3.47
214,Luderitz,44,NA,1554849169,91,-26.65,15.16,12.76,3.27
215,Harnosand,88,SE,1554848812,54,62.63,17.94,-0.57,5.1
216,Pemba,76,MZ,1554849170,100,-12.97,40.52,27.09,3.92
217,Lashio,0,MM,1554849170,89,22.93,97.75,16.09,0.97
218,Yashkul,0,RU,1554849170,75,46.17,45.34,7.76,3.57
219,Hualmay,32,PE,1554849170,86,-11.1,-77.61,20.16,2.72
220,Mitsamiouli,44,KM,1554849170,98,-11.38,43.28,28.26,3.97
221,Atuona,48,PF,1554849170,100,-9.8,-139.03,28.59,2.82
222,Baltiysk,90,RU,1554847200,69,54.66,19.91,2.0,3.0
223,Berlevag,20,NO,1554844800,79,70.86,29.09,-4.0,3.6
224,Makat,0,KZ,1554849171,69,47.65,53.35,8.71,3.62
225,Arlit,0,NE,1554849171,21,18.74,7.39,18.11,0.87
226,Miri,20,NG,1554849171,53,10.31,9.75,25.06,2.62
227,Norman Wells,75,CA,1554843600,62,65.28,-126.83,-5.0,4.6
228,Hengshui,8,CN,1554849172,77,37.73,115.7,6.51,3.57
229,Huesca,56,ES,1554849016,81,42.14,-0.41,10.0,4.1
230,Nome,1,US,1554849157,27,30.04,-94.42,32.78,1.67
231,Mulino,0,IT,1554849153,81,44.49,11.05,12.22,2.1
232,Hanmer Springs,20,NZ,1554849173,64,-42.52,172.83,18.34,4.77
233,Fort Nelson,40,CA,1554847200,25,58.81,-122.69,12.0,2.1
234,Ancud,90,CL,1554847200,87,-41.87,-73.83,13.0,2.1
235,Robertsport,32,LR,1554849173,99,6.75,-11.37,27.84,3.47
236,Khatanga,36,RU,1554849173,79,71.98,102.47,-17.09,3.92
237,Vangaindrano,24,MG,1554849174,87,-23.35,47.6,21.31,1.32
238,Victoria,90,BN,1554847200,94,5.28,115.24,27.0,0.5
239,Baherden,0,TM,1554849174,91,38.44,57.43,10.31,0.77
240,Dalaba,76,GN,1554849174,64,10.69,-12.25,23.61,1.17
241,Lupiro,92,TZ,1554849174,96,-8.39,36.67,21.69,1.37
242,Bodri,0,IN,1554849175,79,23.17,81.43,17.56,1.22
243,Sibu,75,MY,1554847200,100,2.29,111.83,25.0,1.62
244,Liku,32,ID,1554849175,89,-0.73,119.89,27.91,1.32
245,Beringovskiy,80,RU,1554849175,100,63.05,179.32,-10.49,5.62
246,Esperance,20,TT,1554849087,65,10.24,-61.45,28.0,6.2
247,Atar,0,MR,1554849176,25,20.52,-13.05,18.81,3.17
248,Lubana,92,CD,1554849176,100,0.23,29.1,16.51,0.87
249,Winslow,90,GB,1554849163,86,51.94,-0.88,7.22,4.6
250,Saint George,75,GR,1554846600,93,39.45,22.34,12.0,1.77
251,Faanui,56,PF,1554849176,100,-16.48,-151.75,28.59,2.67
252,Tigil,8,RU,1554849177,100,57.8,158.67,-3.32,1.67
253,Husavik,8,CA,1554849019,66,50.56,-96.99,-1.67,2.68
254,Mangrol,8,IN,1554849177,65,25.33,76.51,20.71,1.62
255,Kerema,8,PG,1554849177,69,-7.96,145.78,27.96,0.32
